A; 2.42
B; 2.24
C; 2.53
D; 2.34
E; 2.28
F; 2.4
G; 2.43
H; 2.54
A; 2.37
B; 2.59
C; 2.32
D; 2.53
E; 2.38
F; 2.26
G; 2.38
H; 2.24
A; 2.43
B; 2.35
C; 2.52
D; 2.25
E; 2.31
F; 2.46
G; 2.38
H; 2.19
A; 2.58
B; 2.24
C; 2.33
D; 2.49
E; 2.42
F; 2.36
G; 2.25
H; 2.53
A; 2.56
B; 2.41
C; 2.27
D; 2.39
E; 2.22
F; 2.53
G; 2.45
H; 2.33
A; 2.19
B; 2.50
C; 2.31
D; 2.46
E; 2.55
F; 2.28
G; 2.32
H; 2.21
A; 2.27
B; 2.56
C; 2.42
D; 2.34
E; 2.26
F; 2.47
G; 2.38
H; 2.51
A; 2.45
B; 2.33
C; 2.29
D; 2.53
E; 2.36
F; 2.21
G; 2.41
H; 2.30
